energy,cubicRoot,strain,alphaJutzi,pressure
375.731800,1.000000,0.000000,1.000000,-1943699000.000000
1392.332000,1.000000,0.000000,1.000000,-5642694000.000000
3082.952000,1.000000,0.000000,1.000000,-4469794000.000000
726.586800,1.000000,0.000000,1.000000,-4259091000.000000
1197.885000,1.000000,0.000000,1.000000,-6671491000.000000
2978.391000,1.000000,0.000000,1.000000,-3931112000.000000
3751.185000,1.000000,0.000000,1.000000,-4870769000.000000
7093.395000,1.000000,0.000000,1.000000,-4901140000.000000
5701.100000,1.000000,0.000000,1.000000,-2709024000.000000
192623.900000,1.000000,0.000000,1.000000,-5499456000.000000
2846.120000,1.000000,0.000000,1.000000,-3921424000.000000
1960.951000,1.000000,0.000000,1.000000,-4096791000.000000
1043.897000,1.000000,0.000000,1.000000,-5107666000.000000
6260.342000,1.000000,0.000000,1.000000,-2288020000.000000
692.210500,1.000000,0.000000,1.000000,-1012286000.000000
545.860700,1.000000,0.000000,1.000000,-1476941000.000000
574.994300,1.000000,0.000000,1.000000,-3954414000.000000
2262.105000,1.000000,0.000000,1.000000,-3682917000.000000
12057.670000,1.000000,0.000000,1.000000,-6315565000.000000
758.947800,1.000000,0.000000,1.000000,-3731364000.000000
2011.738000,1.000000,0.000000,1.000000,-3869682000.000000
13363.200000,1.000000,0.000000,1.000000,-5739643000.000000
684.677100,1.000000,0.000000,1.000000,-6637574000.000000
2049.892000,1.000000,0.000000,1.000000,-6624596000.000000
714.314200,1.000000,0.000000,1.000000,-2064202000.000000
3971.299000,1.000000,0.000000,1.000000,-6477897000.000000
1518.230000,1.000000,0.000000,1.000000,-6271700000.000000
1266.852000,1.000000,0.000000,1.000000,-4591357000.000000
4034.157000,1.000000,0.000000,1.000000,-896729100.000000
1760.610000,1.000000,0.000000,1.000000,-2376061000.000000
3339.985000,1.000000,0.000000,1.000000,-234457800.000000
744.218700,1.000000,0.000000,1.000000,-2893355000.000000
13248.480000,1.000000,0.000000,1.000000,-6633615000.000000
1984.394000,1.000000,0.000000,1.000000,-6651981000.000000
1651.322000,1.000000,0.000000,1.000000,-1121531000.000000
102.428300,1.000000,0.000000,1.000000,-513716100.000000
1250.174000,1.000000,0.000000,1.000000,-2534966000.000000
2792.324000,1.000000,0.000000,1.000000,-6621908000.000000
1500.985000,1.000000,0.000000,1.000000,-360390700.000000
2179.805000,1.000000,0.000000,1.000000,-1969866000.000000
85102.170000,1.000000,0.000000,1.000000,-5153920000.000000
1841.555000,1.000000,0.000000,1.000000,-2022145000.000000
1970.590000,1.000000,0.000000,1.000000,-3989971000.000000
1681.535000,1.000000,0.000000,1.000000,-4926787000.000000
1034.665000,1.000000,0.000000,1.000000,-3322066000.000000
1821.807000,1.000000,0.000000,1.000000,-967555800.000000
3526.613000,1.000000,0.000000,1.000000,-2947185000.000000
7611.008000,1.000000,0.000000,1.000000,-5335320000.000000
3227.027000,1.000000,0.000000,1.000000,-1365896000.000000
1383.245000,1.000000,0.000000,1.000000,-5288543000.000000
1025373.000000,1.000000,0.000000,1.000000,-4004866000.000000
1350.762000,1.000000,0.000000,1.000000,-2821930000.000000
11269.560000,1.000000,0.000000,1.000000,-6097252000.000000
971.992500,1.000000,0.000000,1.000000,-5132077000.000000
14466.740000,1.000000,0.000000,1.000000,-6560794000.000000
1758.094000,1.000000,0.000000,1.000000,-807961200.000000
409.309400,1.000000,0.000000,1.000000,-1184474000.000000
9768.658000,1.000000,0.000000,1.000000,-3452884000.000000
12097.400000,1.000000,0.000000,1.000000,-5003613000.000000
554.201000,1.000000,0.000000,1.000000,-2211325000.000000
347.586800,1.000000,0.000000,1.000000,-1198540000.000000
8044.202000,1.000000,0.000000,1.000000,-5157194000.000000
5917.707000,1.000000,0.000000,1.000000,-2535464000.000000
11581.610000,1.000000,0.000000,1.000000,-3696596000.000000
4824.777000,1.000000,0.000000,1.000000,-1260255000.000000
650.594500,1.000000,0.000000,1.000000,-877144700.000000
198.470700,1.000000,0.000000,1.000000,-1562806000.000000
6910.363000,1.000000,0.000000,1.000000,-6633447000.000000
2846.622000,1.000000,0.000000,1.000000,-340490300.000000
1422.044000,1.000000,0.000000,1.000000,-2463587000.000000
1504.345000,1.000000,0.000000,1.000000,-4817747000.000000
