energy,cubicRoot,strain,alphaJutzi,pressure
0.788279,0.000000,0.000043,1.000000,882730.900000
0.866135,0.000000,0.000002,1.000000,1017179.000000
0.858662,0.000000,0.000018,1.000000,651562.800000
0.526349,0.000000,0.000014,1.000000,2343202.000000
0.784181,0.000000,0.000023,1.000000,1505607.000000
0.796314,0.000000,0.000010,1.000000,1822433.000000
0.124559,0.000699,0.000003,1.000000,1530246.000000
0.134208,0.000000,0.000002,1.000000,1514138.000000
0.179072,0.000000,-0.000001,1.000000,1588598.000000
0.084584,0.000000,0.000006,1.000000,1071048.000000
0.175360,0.000000,0.000002,1.000000,1582605.000000
0.091365,0.000000,0.000002,1.000000,976922.800000
0.156138,0.000000,0.000019,1.000000,348056.500000
-0.260657,0.000000,0.000094,1.000000,-1422039.000000
0.441264,1.000000,0.000000,1.000000,-15204890.000000
2.214115,1.000000,0.000000,1.000000,-2175137.000000
2.594914,1.000000,0.000000,1.000000,-29363690.000000
0.375823,0.000000,0.000018,1.000000,150402.400000
0.251962,0.000000,0.000059,1.000000,-1358258.000000
0.111425,0.000000,0.000007,1.000000,1147913.000000
0.563336,0.000000,0.000032,1.000000,429451.100000
0.002898,0.000000,0.000010,1.000000,715065.100000
0.492940,0.000000,0.000206,1.000000,-3018658.000000
1.680573,1.000000,0.000000,1.000000,-32000010.000000
1.368302,1.000000,0.000000,1.000000,-267529700.000000
6.785250,1.000000,0.000000,1.000000,-911240700.000000
1.945122,0.066667,0.000023,1.000000,-415487.600000
2.745471,1.000000,0.000000,1.000000,-972690600.000000
1.297471,1.000000,0.000000,1.000000,-4509549000.000000
0.376794,1.000000,0.000000,1.000000,-2094688000.000000
-0.016390,0.000785,0.000010,1.000000,-39007.440000
1.397014,0.000000,0.000005,1.000000,461767.900000
-1.157432,0.071969,0.000016,1.000000,542999.500000
1.966011,0.037677,0.000016,1.000000,-51183.230000
1.460817,1.000000,0.000000,1.000000,-189894200.000000
1.338445,1.000000,0.000000,1.000000,-1537354000.000000
1.411779,1.000000,0.000000,1.000000,-2062583000.000000
1.342547,1.000000,0.000000,1.000000,-2403593000.000000
1.239024,1.000000,0.000000,1.000000,-1074899000.000000
0.810364,0.000000,0.000007,1.000000,536348.400000
0.607930,0.000000,0.000010,1.000000,757231.600000
0.252937,0.000000,0.000003,1.000000,1241451.000000
0.660410,0.000000,0.000011,1.000000,6646.981000
0.355947,0.000000,0.000000,1.000000,543309.500000
0.260230,0.039906,0.000002,1.000000,743876.500000
0.398005,0.000000,0.000029,1.000000,161556.700000
0.664779,0.001306,0.000007,1.000000,1486622.000000
-0.066356,0.000000,-0.000008,1.000000,2675700.000000
0.786861,0.067200,0.000017,1.000000,571043.400000
0.741330,1.000000,0.000000,1.000000,-262230100.000000
0.577290,1.000000,0.000000,1.000000,-193097700.000000
-0.526349,0.000000,0.000093,1.000000,-1628333.000000
0.395686,0.072111,0.000052,1.000000,249625.600000
0.333507,0.000000,0.000028,1.000000,-528278.700000
0.510458,0.067157,0.000006,1.000000,497578.100000
0.665304,0.034033,0.000036,1.000000,-856331.700000
0.518156,0.070210,0.000059,1.000000,-1000775.000000
0.538960,0.066667,0.000056,1.000000,-1037297.000000
0.522089,0.025393,0.000035,1.000000,-495998.000000
0.394281,0.067397,0.000024,1.000000,-272157.000000
0.541174,0.076923,0.000006,1.000000,43637.400000
0.321200,0.067160,0.000003,1.000000,552796.700000
0.499637,0.066667,0.000009,1.000000,546539.500000
0.290047,0.004442,0.000009,1.000000,693883.700000
0.471834,0.000000,0.000019,1.000000,312303.300000
0.855555,0.006471,0.000009,1.000000,637529.000000
1.542410,1.000000,0.000000,1.000000,-23551740.000000
0.431732,0.000000,0.000002,1.000000,105952.000000
0.185294,0.042872,0.000006,1.000000,144599.900000
0.475489,0.000000,0.000001,1.000000,101943.900000
1.285789,1.000000,0.000000,1.000000,-68935510.000000
0.313108,0.022863,0.000005,1.000000,-85357.980000
0.926472,1.000000,0.000000,1.000000,-52113050.000000
0.066045,0.066667,0.000053,1.000000,-1104748.000000
0.221511,0.067192,0.000007,1.000000,697559.500000
0.194462,0.133333,0.000010,1.000000,619668.800000
0.901806,1.000000,0.000000,1.000000,-817711500.000000
0.948750,1.000000,0.000000,1.000000,-801118400.000000
0.190795,0.001009,0.000028,1.000000,-582122.800000
1.063014,0.077454,0.000056,1.000000,-71283.790000
0.070294,0.100859,0.000055,1.000000,-1238221.000000
0.589147,0.066667,0.000023,1.000000,-161798.700000
0.394127,0.067116,-0.000001,1.000000,181026.500000
0.851139,1.000000,0.000000,1.000000,-475970400.000000
1.037045,1.000000,0.000000,1.000000,-1863415000.000000
1.189933,1.000000,0.000000,1.000000,-218933400.000000
1.060891,0.051593,-0.000001,1.000000,402649.900000
0.967646,0.083333,0.000006,1.000000,-129101.300000
1.314702,1.000000,0.000000,1.000000,-2222914000.000000
0.913748,1.000000,0.000000,1.000000,-2709041000.000000
